fecha,land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update
2024-06-26 12:26:59.943160,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,True,15,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,True,10,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,50,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,25,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,45,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,31,Cars Quatre Roues Rallye,True,15,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,29,Cars ROAD TRIP,True,5,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,32,Crush's Coaster,True,80,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,7277,Crush's Coaster Single Rider,True,35,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,37,Ratatouille: The Adventure,True,45,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,15,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,34,RC Racer,True,45,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,7280,RC Racer Single Rider,True,30,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,36,Slinky® Dog Zigzag Spin,True,10,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-26T10:25:14.000Z
2024-06-26 12:26:59.943160,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-26T10:25:14.000Z
2024-06-23 09:07:53.016828,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,5,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,5,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,5,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,31,Cars Quatre Roues Rallye,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,29,Cars ROAD TRIP,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,32,Crush's Coaster,True,50,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,7277,Crush's Coaster Single Rider,True,35,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,37,Ratatouille: The Adventure,True,5,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,34,RC Racer,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,7280,RC Racer Single Rider,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,36,Slinky® Dog Zigzag Spin,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:07:53.016828,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-23T07:05:09.000Z
2024-06-23 09:37:53.926705,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,15,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,31,Cars Quatre Roues Rallye,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,29,Cars ROAD TRIP,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,32,Crush's Coaster,True,65,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,7277,Crush's Coaster Single Rider,True,40,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,37,Ratatouille: The Adventure,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,34,RC Racer,True,10,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,7280,RC Racer Single Rider,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,36,Slinky® Dog Zigzag Spin,True,5,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-23T07:35:10.000Z
2024-06-23 09:37:53.926705,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-23T07:35:10.000Z
2024-06-24 10:09:10.828096,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,45,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,20,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,31,Cars Quatre Roues Rallye,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,29,Cars ROAD TRIP,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,32,Crush's Coaster,True,65,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,7277,Crush's Coaster Single Rider,True,45,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,37,Ratatouille: The Adventure,True,25,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,34,RC Racer,True,30,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,7280,RC Racer Single Rider,True,15,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,36,Slinky® Dog Zigzag Spin,True,5,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:09:10.828096,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-24T08:05:08.000Z
2024-06-24 10:39:11.139699,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,35,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,25,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,31,Cars Quatre Roues Rallye,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,29,Cars ROAD TRIP,True,10,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,32,Crush's Coaster,True,60,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,7277,Crush's Coaster Single Rider,True,45,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,37,Ratatouille: The Adventure,True,25,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,34,RC Racer,True,25,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,7280,RC Racer Single Rider,True,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,36,Slinky® Dog Zigzag Spin,True,5,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-24T08:35:09.000Z
2024-06-24 10:39:11.139699,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-24T08:35:09.000Z
2024-07-21 08:26:40.767765,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,False,0,2024-07-21T06:25:04.000Z
2024-07-21 08:26:40.767765,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,False,0,2024-07-21T06:25:04.000Z
